0,1,2,3,4,5,6,7,8,9,10,11
0.0,0.09066213,0.09096239,0.09098059,0.09099752,0.09088063,0.090739384,0.09110716,0.09098559,0.09097309,0.09092335,0.09078817
0.09094962,0.0,0.09094543,0.09084731,0.09099041,0.090871654,0.09086947,0.090899244,0.09096755,0.090926096,0.090745434,0.09098782
0.09089028,0.09100741,0.0,0.090879805,0.090853855,0.0908293,0.090897284,0.09084325,0.09106058,0.09091376,0.09080277,0.09102175
0.09107166,0.09066815,0.091008954,0.0,0.09098291,0.090941705,0.09072114,0.09104073,0.0909543,0.09093791,0.09088349,0.09078902
0.09095474,0.090997905,0.090944014,0.09080008,0.0,0.090736076,0.09088067,0.09094446,0.090943106,0.09096219,0.0908238,0.091013014
0.09095222,0.09069689,0.09100545,0.0909828,0.090996526,0.0,0.09073338,0.09104723,0.09101033,0.090898134,0.09086026,0.090816766
0.090876825,0.09095038,0.09095154,0.090841316,0.090901814,0.09090804,0.0,0.09093693,0.09082451,0.09088361,0.09087533,0.09104969
0.09105982,0.09067671,0.09095562,0.090959996,0.09100054,0.09099288,0.09079333,0.0,0.090923905,0.09088137,0.09090479,0.09085108
0.090873845,0.09098696,0.091123074,0.09085531,0.09095761,0.090855695,0.090794556,0.090923056,0.0,0.09090068,0.09076359,0.09096557
0.09104711,0.09098521,0.09085316,0.090822525,0.09101272,0.090768345,0.0908522,0.09093763,0.09088732,0.0,0.09081316,0.09102061
0.09084692,0.09089788,0.09088341,0.09079003,0.0910229,0.090861,0.0909201,0.09101264,0.09081611,0.09089684,0.0,0.09105222
0.09088058,0.09108158,0.090954214,0.09081995,0.09099,0.090757474,0.090920374,0.090953805,0.0909354,0.09086011,0.090846516,0.0
